appid,is_eligible,exclusion_reason,evaluated_at,appdetails_status,app_type,search_release_date,store_release_date_raw,store_release_date,release_date_status
2832300,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-24,"Jul 24, 2025",2025-07-24,exact_match
2833380,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-11,"Nov 11, 2025",2025-11-11,exact_match
2834520,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-03,"Dec 3, 2025",2025-12-03,exact_match
2835040,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
2835300,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-27,"Oct 27, 2025",2025-10-27,exact_match
2835650,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-25,"Nov 25, 2025",2025-11-25,exact_match
2835690,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-21,"Jul 21, 2025",2025-07-21,exact_match
2836070,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-15,"Jul 15, 2025",2025-07-15,exact_match
2836090,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-18,"Nov 18, 2025",2025-11-18,exact_match
2836100,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-07,"Aug 7, 2025",2025-08-07,exact_match
2836300,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-31,"Jul 31, 2025",2025-07-31,exact_match
2836660,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-03,"Nov 3, 2025",2025-11-03,exact_match
2837070,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-06,"Dec 6, 2025",2025-12-06,exact_match
2839450,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-16,"Jul 16, 2025",2025-07-16,exact_match
2840590,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-25,"Jul 25, 2025",2025-07-25,exact_match
2841320,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-04,"Dec 4, 2025",2025-12-04,exact_match
2841740,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-04,"Aug 4, 2025",2025-08-04,exact_match
2841770,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-18,"Jul 18, 2025",2025-07-18,exact_match
2842150,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-31,"Jul 31, 2025",2025-07-31,exact_match
2842430,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-18,"Jul 18, 2025",2025-07-18,exact_match
2842490,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-19,"Nov 19, 2025",2025-11-19,exact_match
2844360,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-01,"Aug 1, 2025",2025-08-01,exact_match
2845770,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-15,"Aug 15, 2025",2025-08-15,exact_match
2845940,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-19,"Dec 19, 2025",2025-12-19,exact_match
2846510,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-08,"Jul 8, 2025",2025-07-08,exact_match
2846930,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-04,"Nov 4, 2025",2025-11-04,exact_match
2847340,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-06,"Nov 6, 2025",2025-11-06,exact_match
2847740,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-12,"Aug 12, 2025",2025-08-12,exact_match
2848680,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-25,"Oct 25, 2025",2025-10-25,exact_match
2849130,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-01,"Oct 1, 2025",2025-10-01,exact_match
2849170,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-20,"Nov 20, 2025",2025-11-20,exact_match
2849500,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-15,"Jul 15, 2025",2025-07-15,exact_match
2849740,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-01,"Sep 1, 2025",2025-09-01,exact_match
2849760,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-05,"Nov 5, 2025",2025-11-05,exact_match
2849820,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-16,"Aug 16, 2025",2025-08-16,exact_match
2849990,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-19,"Aug 19, 2025",2025-08-19,exact_match
2851640,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-21,"Nov 21, 2025",2025-11-21,exact_match
2852760,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-17,"Oct 17, 2025",2025-10-17,exact_match
2853870,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-29,"Dec 29, 2025",2025-12-29,exact_match
2854360,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
2854790,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-13,"Aug 13, 2025",2025-08-13,exact_match
2854980,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-16,"Jul 16, 2025",2025-07-16,exact_match
