"model","days_since_release","predicted_probability"
"Natural spline df=3",416.929648241206,0.83225049439711
"Natural spline df=3",417.849246231156,0.833338835381082
"Natural spline df=3",418.768844221105,0.834433838282021
"Natural spline df=3",419.688442211055,0.83553478638062
"Natural spline df=3",420.608040201005,0.836640973333643
"Natural spline df=3",421.527638190955,0.837751703454757
"Natural spline df=3",422.447236180904,0.83886629197619
"Natural spline df=3",423.366834170854,0.839984065291184
"Natural spline df=3",424.286432160804,0.841104361177197
"Natural spline df=3",425.206030150754,0.842226528999869
"Natural spline df=3",426.125628140703,0.843349929897768
"Natural spline df=3",427.045226130653,0.844473936947965
"Natural spline df=3",427.964824120603,0.845597935312511
"Natural spline df=3",428.884422110553,0.84672132236593
"Natural spline df=3",429.804020100502,0.84784350780383
"Natural spline df=3",430.723618090452,0.848963913732813
"Natural spline df=3",431.643216080402,0.850081974741832
"Natural spline df=3",432.562814070352,0.85119713795522
"Natural spline df=3",433.482412060301,0.852308863067597
"Natural spline df=3",434.402010050251,0.853416622360922
"Natural spline df=3",435.321608040201,0.854519900703936
"Natural spline df=3",436.241206030151,0.855618195534315
"Natural spline df=3",437.1608040201,0.856711016823815
"Natural spline df=3",438.08040201005,0.857797887026768
"Natural spline df=3",439,0.85887834101225
