"appid","observed","fitted","pearson_residual"
2958130,11304,2129.13310221836,1.4393789996207
2963220,5,513.754104088596,-0.364816323001906
2964580,6,58.7393892838958,-0.407361497773261
2967630,188,312.611413190418,-0.152832216206345
2968420,10838,3612.46375439283,0.647293697186177
2973830,157,3600.2976207516,-0.309567741837771
2977680,4,20.2498752562304,-0.424175791245755
2978460,8,966.433988140853,-0.348869120568626
2979020,6,72.5610150144681,-0.405883006300312
2981070,360,373.577714014513,-0.0137312741719224
2981450,351,451.756667555857,-0.0829916955604171
2983410,416,125.42948185267,0.966164019783816
2985450,43,798.646066594929,-0.337345442500353
2986340,9,505.056052777817,-0.362313119018584
2987110,27,183.14218672177,-0.342729246885294
2995560,110,712.498436759961,-0.303991894255662
2996290,5,666.854699502612,-0.358531877278317
2998130,2,624.571461550219,-0.361834495115544
2999220,2,75.7667720556868,-0.428657727837123
3001330,278,1240.16211392065,-0.268323934106454
3002400,20,129.417602106347,-0.351496321274967
3002630,1,157.468918749932,-0.405203458066173
3003730,36,177.557981713012,-0.32141994260981
3004860,2,741.993946380109,-0.357468956835381
3006080,19,1067.08247921378,-0.343165691990875
3006280,306,1005.16013606477,-0.244023848643477
3008340,381,511.044823621538,-0.0937847936069986
3008800,24,179.524971103527,-0.348903184012464
3008950,4,106.898213561827,-0.408129148168346
3012220,157,2803.798896779,-0.310083010576158
3013500,51,81.9353959805311,-0.164766591064273
3014460,7,418.609785125888,-0.36809663516981
3015920,25,314.516182282115,-0.352752573480183
3019870,55,15.7652420212838,1.37546428167532
3022560,2,180.111554552374,-0.398150661794648
3024040,10580,1197.63995227445,2.71576276804276
3024370,53,7.50243644349001,3.94702359822791
3026650,1,116.94724077302,-0.416460513778917
3027310,2,31.0831784939864,-0.462222537522158
3029500,5,164.195925441478,-0.39379179049049
3030130,2,28.5614069644434,-0.465241767130891
3032010,120,297.680493087286,-0.229797678159029
3032520,22,192.694551350122,-0.354420775409685
3033080,17,43.31708396125,-0.286540408009949
3034350,21,873.113533098253,-0.345769461686135
3034530,18,16.4107870041028,0.0531254341660858
3035320,14,416.838209160537,-0.361905780413361
3035880,63,676.456039588849,-0.327252881017492
3036320,2,161.825760953627,-0.401698514922427
3036800,76,1543.98626985388,-0.324116838436686
3037480,2,249.765913015291,-0.387737469130056
3038530,12,237.286837586844,-0.37278090594695
3039910,459,358.856493691832,0.105777289643977
3040110,5,600.827439538101,-0.36101956632645
3040180,53,284.635075251989,-0.314506577632327
3040670,5,424.588178223632,-0.369530809704359
3042280,5,74.2816607070006,-0.411575452415875
3042560,4,105.281377843787,-0.408540232172819
3043580,1021,661.10824372089,0.196776251362795
3044220,90,45.0667096565347,0.467787533068702
3045660,104,550.843651431484,-0.297258304322881
3047090,5,108.413075142321,-0.403843471142588
3047310,42,1296.59531100354,-0.333656832962373
3047510,182,1213.95196013136,-0.294421327291488
3051240,9,2791.74478691031,-0.327501565602562
3051490,39,1632.55159646843,-0.331557143024561
3052320,1,114.275259257709,-0.417370610448698
3054820,1941,1148.46838095427,0.239900888195019
3055230,432,117.988741609034,1.11689465917809
3055530,20,439.511718454534,-0.355942489108248
3058360,425,2066.71655805624,-0.265826333274031
3059160,3,63.4862378467412,-0.428229110467551
3061100,1,257.964929931398,-0.38825415814439
3061370,8,23.215201670408,-0.338673528567495
