"appid","review_count","attention_tier","high_attention_100","is_free","current_price_usd","days_since_release","log_days","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","tier_price_spline_1","tier_price_spline_2","tier_price_spline_3"
4042190,15,"Tier2",0,0,5.99,337,5.82008293035236,"Windows only",1,1,0,1,0,0,0,-0.0168287319568234,0.00432550733585602,-0.00254065785494112
4042220,14,"Tier2",0,0,3.99,343,5.83773044716594,"Windows only",1,1,0,1,0,0,0,-0.163294420304253,0.0039253576640299,-0.00263922125326072
4043270,12,"Tier2",0,0,1.49,338,5.82304589548302,"Windows only",1,1,1,0,0,1,1,-0.160133911506303,-0.275447494805641,0.14801427660185
4043620,4,"Tier1",0,0,1.99,314,5.74939298590825,"Windows only",0,1,1,1,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4043890,2,"Tier1",0,0,5.99,265,5.57972982598622,"Windows only",0,0,0,1,1,0,1,-0.0168287319568234,0.00432550733585602,-0.00254065785494112
4045150,48,"Tier2",0,0,0.99,334,5.8111409929767,"Windows only",0,0,1,1,1,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4045300,3,"Tier1",0,0,1.99,269,5.59471137960184,"Windows only",0,1,1,0,0,0,0,-0.191000956662677,-0.174609008555128,0.0936365139174693
4045890,16,"Tier2",0,1,0,342,5.8348107370626,"Windows + macOS + Linux",0,0,0,1,0,0,1,0,0,0
4045970,4,"Tier1",0,0,3,335,5.81413053182507,"Windows + macOS + Linux",0,0,1,1,0,1,0,-0.199924239101678,-0.0507442418316123,0.026841690429991
4047260,1,"Tier1",0,0,4.99,305,5.72031177660741,"Windows only",1,0,0,0,0,0,0,-0.097980093369211,0.0172174383899374,-0.00980705605692289
4047290,2,"Tier1",0,0,0.99,338,5.82304589548302,"Windows only",1,0,0,1,0,0,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4048080,64,"Tier2",0,0,0.99,326,5.78689738136671,"Windows only",1,1,1,1,1,1,0,-0.10419428022306,-0.415443396766967,0.223507912183871
4048550,67,"Tier2",0,0,14.99,274,5.61312810638807,"Windows only",1,1,0,0,0,1,0,0.392571032510476,-0.160815293725573,0.156651314964725
