appid,genre_id,genre_name
2228490,23,Indie
2228490,25,Adventure
2234150,1,Action
2234150,23,Indie
2234150,25,Adventure
2235200,1,Action
2235200,23,Indie
2235200,25,Adventure
2235200,3,RPG
2235200,70,Early Access
2238440,23,Indie
2238440,25,Adventure
2238440,28,Simulation
2238440,3,RPG
2243700,1,Action
2243700,23,Indie
2243700,25,Adventure
2248170,23,Indie
2248170,25,Adventure
2262890,1,Action
2262890,23,Indie
2262890,25,Adventure
2262890,3,RPG
2263360,1,Action
2263360,23,Indie
2268550,25,Adventure
2268550,3,RPG
2271110,1,Action
2271110,2,Strategy
2271110,23,Indie
2271110,4,Casual
2271110,9,Racing
2279180,1,Action
2279180,23,Indie
2279440,2,Strategy
2279440,23,Indie
2279440,25,Adventure
2279440,28,Simulation
2279440,70,Early Access
2282770,1,Action
2282770,70,Early Access
2285150,1,Action
2285150,23,Indie
2285150,28,Simulation
2285150,29,Massively Multiplayer
2288470,2,Strategy
2288470,23,Indie
2288470,25,Adventure
2288470,3,RPG
2288470,70,Early Access
2292540,23,Indie
2292870,1,Action
2292870,23,Indie
2292870,25,Adventure
2296120,2,Strategy
2296120,23,Indie
2296120,3,RPG
2297590,1,Action
2297590,23,Indie
2297590,25,Adventure
2297590,3,RPG
2299690,3,RPG
2300120,1,Action
2308690,2,Strategy
2308690,28,Simulation
2308690,70,Early Access
2310230,1,Action
2310230,25,Adventure
2310230,3,RPG
2316640,2,Strategy
2316640,23,Indie
2316640,25,Adventure
2316640,4,Casual
2319790,1,Action
2319790,23,Indie
2319790,25,Adventure
2321250,25,Adventure
2321250,4,Casual
2321470,1,Action
2324760,23,Indie
2324760,4,Casual
2324760,9,Racing
2327050,2,Strategy
2327050,23,Indie
2327050,25,Adventure
2327050,37,Free To Play
2327050,4,Casual
2327950,1,Action
2334690,23,Indie
2334690,25,Adventure
2336210,23,Indie
2336430,23,Indie
2336430,28,Simulation
2336430,29,Massively Multiplayer
2336430,37,Free To Play
2336430,4,Casual
2336430,70,Early Access
2345740,2,Strategy
2347080,2,Strategy
2347080,3,RPG
2347080,70,Early Access
2350270,1,Action
2350270,23,Indie
2350270,25,Adventure
2352140,23,Indie
2352140,28,Simulation
2352140,4,Casual
2352620,3,RPG
2352620,70,Early Access
2353100,1,Action
2353100,23,Indie
2353100,25,Adventure
2357350,1,Action
2357350,2,Strategy
2357350,23,Indie
2359270,23,Indie
2359270,4,Casual
2359390,1,Action
2359390,23,Indie
2359390,25,Adventure
2359390,4,Casual
2361770,1,Action
2365410,23,Indie
2365410,25,Adventure
2365410,4,Casual
2367120,23,Indie
2367120,25,Adventure
2367120,4,Casual
2372450,2,Strategy
2372450,23,Indie
2372450,3,RPG
2376990,23,Indie
2376990,25,Adventure
2376990,4,Casual
2377620,1,Action
2377620,23,Indie
2377620,4,Casual
2377720,70,Early Access
2377720,9,Racing
2393100,23,Indie
2393100,28,Simulation
2393100,3,RPG
2393100,4,Casual
2393510,2,Strategy
2393510,23,Indie
2393510,70,Early Access
2398290,1,Action
2398290,18,Sports
2398290,23,Indie
2398290,25,Adventure
2398290,28,Simulation
2398290,3,RPG
2398290,4,Casual
2398290,9,Racing
2402620,4,Casual
2402620,70,Early Access
2403600,1,Action
2403600,23,Indie
2403600,25,Adventure
2411100,1,Action
2411100,23,Indie
2411100,25,Adventure
2411100,3,RPG
2416100,23,Indie
2416100,25,Adventure
2418530,2,Strategy
2418530,23,Indie
2418530,70,Early Access
2421540,1,Action
2421540,23,Indie
2421540,25,Adventure
2421540,3,RPG
2421540,4,Casual
2424300,2,Strategy
2424300,23,Indie
2424300,3,RPG
2424480,1,Action
2424480,2,Strategy
2424480,23,Indie
2424480,28,Simulation
2424480,4,Casual
2430170,2,Strategy
2430170,23,Indie
2430170,3,RPG
2430540,23,Indie
2430540,3,RPG
2431200,1,Action
2431200,2,Strategy
2431200,23,Indie
2431200,25,Adventure
2436660,1,Action
2436660,4,Casual
2440940,1,Action
2440940,23,Indie
2440940,4,Casual
2440940,70,Early Access
2441260,18,Sports
2441260,23,Indie
2441260,37,Free To Play
2441260,9,Racing
2444530,1,Action
2444530,18,Sports
2444530,23,Indie
2444530,70,Early Access
2444530,9,Racing
2446540,1,Action
2446540,23,Indie
2446540,25,Adventure
2446540,28,Simulation
2449060,3,RPG
2449060,4,Casual
2451310,23,Indie
2451310,28,Simulation
2451310,4,Casual
2453160,23,Indie
2453160,25,Adventure
2460920,2,Strategy
2460920,23,Indie
2460920,28,Simulation
2460920,4,Casual
2461360,23,Indie
2461360,28,Simulation
2461360,4,Casual
2462430,1,Action
2462430,23,Indie
2462430,25,Adventure
2462430,28,Simulation
2462430,37,Free To Play
2462430,4,Casual
2467850,2,Strategy
2467850,23,Indie
2467850,28,Simulation
2467850,4,Casual
2471390,1,Action
2471390,23,Indie
2471390,70,Early Access
2475550,23,Indie
2475550,3,RPG
2475550,37,Free To Play
2475550,4,Casual
2479770,1,Action
2479770,25,Adventure
2481640,2,Strategy
2483440,23,Indie
2483440,4,Casual
2484630,23,Indie
2484630,25,Adventure
2484630,3,RPG
2484630,4,Casual
2484680,1,Action
2484680,4,Casual
2486820,1,Action
2486820,25,Adventure
2486820,9,Racing
2488250,23,Indie
2488250,4,Casual
2488470,2,Strategy
2488470,23,Indie
2488470,4,Casual
2495610,2,Strategy
2495610,23,Indie
2495610,25,Adventure
2495610,28,Simulation
2495610,4,Casual
2495630,2,Strategy
2495630,25,Adventure
2495630,28,Simulation
2495630,4,Casual
2495640,2,Strategy
2495640,25,Adventure
2495640,28,Simulation
2495640,4,Casual
2500460,2,Strategy
2503550,1,Action
2503550,2,Strategy
2503550,23,Indie
2503550,25,Adventure
2503550,4,Casual
2505200,1,Action
2505200,23,Indie
2505200,3,RPG
2507560,25,Adventure
2508780,28,Simulation
2508780,4,Casual
2515280,1,Action
2515280,18,Sports
2521400,23,Indie
2521400,25,Adventure
2521400,3,RPG
2521400,4,Casual
2521400,70,Early Access
2522040,23,Indie
2522040,28,Simulation
2522290,1,Action
2522290,2,Strategy
2522290,23,Indie
2522290,28,Simulation
2522290,70,Early Access
2523450,1,Action
2523720,1,Action
2528800,23,Indie
2528800,28,Simulation
2528800,4,Casual
2529050,23,Indie
2529050,25,Adventure
2538520,23,Indie
2538520,25,Adventure
2538520,4,Casual
2545710,18,Sports
2548500,1,Action
2548500,23,Indie
2548500,25,Adventure
2549190,23,Indie
2549190,25,Adventure
2549190,3,RPG
2549240,1,Action
2549930,23,Indie
2549930,28,Simulation
2549930,4,Casual
2550790,2,Strategy
2550790,23,Indie
2550790,28,Simulation
2550790,3,RPG
2552750,23,Indie
2552750,25,Adventure
2552750,28,Simulation
2552750,4,Casual
2554740,1,Action
2554740,23,Indie
2554740,4,Casual
2555950,1,Action
2555950,2,Strategy
2555950,23,Indie
2559960,2,Strategy
2559960,23,Indie
2559960,28,Simulation
2559960,3,RPG
2559960,70,Early Access
2560340,2,Strategy
2560340,28,Simulation
2560730,23,Indie
2560730,25,Adventure
2560730,3,RPG
2561810,1,Action
2561810,23,Indie
2561810,4,Casual
2567380,1,Action
2567380,23,Indie
2567380,25,Adventure
2567380,3,RPG
2568650,1,Action
2568650,4,Casual
2568800,1,Action
2568800,23,Indie
2568800,25,Adventure
2568800,3,RPG
2568800,70,Early Access
2571730,1,Action
2571730,23,Indie
2571730,25,Adventure
2571730,70,Early Access
2576200,2,Strategy
2576200,23,Indie
2576200,3,RPG
2576200,70,Early Access
2582140,28,Simulation
2582140,4,Casual
2582140,70,Early Access
2583940,2,Strategy
2583940,23,Indie
2583940,25,Adventure
