appid,total_reviews,positive_reviews,negative_reviews,positive_rate,review_score,review_score_desc,review_language,review_purchase_type,review_type,filter_offtopic_activity,day_range,review_collected_at,review_status,schema_error,http_status,request_retry_count,request_latency_seconds,http_429_count,http_5xx_count,transport_error_count
1575810,147,136,11,0.9251700680272109,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:40.394320+00:00,success,,200,0,1.905999999999949,0,0,0
1581370,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:43:42.445471+00:00,success,,200,0,2.0,0,0,0
1583540,15,12,3,0.8,7,Positive,all,steam,all,1,365,2026-09-13T18:43:44.617065+00:00,success,,200,0,2.155999999999949,0,0,0
1594040,359,229,130,0.637883008356546,5,Mixed,all,steam,all,1,365,2026-09-13T18:43:46.732420+00:00,success,,200,0,1.9680000000000746,0,0,0
1599420,27,24,3,0.8888888888888888,7,Positive,all,steam,all,1,365,2026-09-13T18:43:48.781392+00:00,success,,200,0,2.0779999999999745,0,0,0
1605250,725,588,137,0.8110344827586207,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:50.910511+00:00,success,,200,0,2.155999999999949,0,0,0
1620730,4254,3564,690,0.8377997179125529,8,Very Positive,all,steam,all,1,365,2026-09-13T18:43:53.104656+00:00,success,,200,0,2.0930000000000746,0,0,0
1622630,63,44,19,0.6984126984126984,5,Mixed,all,steam,all,1,365,2026-09-13T18:43:55.137363+00:00,success,,200,0,2.296000000000049,0,0,0
1623120,34,23,11,0.6764705882352942,5,Mixed,all,steam,all,1,365,2026-09-13T18:43:57.268512+00:00,success,,200,0,1.844000000000051,0,0,0
1633070,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:43:59.284718+00:00,success,,200,0,1.984000000000151,0,0,0
1639710,6,6,0,1.0,0,6 user reviews,all,steam,all,1,365,2026-09-13T18:44:01.291076+00:00,success,,200,0,2.0629999999998745,0,0,0
1644700,5,4,1,0.8,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:44:03.421862+00:00,success,,200,0,2.1099999999999,0,0,0
1645630,737,465,272,0.6309362279511533,5,Mixed,all,steam,all,1,365,2026-09-13T18:44:05.640610+00:00,success,,200,0,2.094000000000051,0,0,0
1652400,6,5,1,0.8333333333333334,0,6 user reviews,all,steam,all,1,365,2026-09-13T18:44:07.889377+00:00,success,,200,0,2.2819999999999254,0,0,0
1657630,43483,41078,2405,0.9446910286778741,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:09.978578+00:00,success,,200,0,2.015999999999849,0,0,0
1660960,466,432,34,0.927038626609442,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:12.046806+00:00,success,,200,0,2.0,0,0,0
1665260,295,228,67,0.7728813559322034,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:44:14.270311+00:00,success,,200,0,2.1569999999999254,0,0,0
1670690,572,471,101,0.8234265734265734,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:16.387873+00:00,success,,200,0,2.1400000000001,0,0,0
1674150,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:44:18.580814+00:00,success,,200,0,2.1720000000000255,0,0,0
1689390,32,28,4,0.875,7,Positive,all,steam,all,1,365,2026-09-13T18:44:20.754039+00:00,success,,200,0,2.078999999999951,0,0,0
1693040,1056,787,269,0.7452651515151515,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:44:22.887322+00:00,success,,200,0,2.219000000000051,0,0,0
1699230,2520,2289,231,0.9083333333333333,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:24.897567+00:00,success,,200,0,1.9529999999999745,0,0,0
1710260,5,5,0,1.0,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:44:27.016099+00:00,success,,200,0,2.0,0,0,0
1711790,12,10,2,0.8333333333333334,7,Positive,all,steam,all,1,365,2026-09-13T18:44:29.155724+00:00,success,,200,0,2.1089999999999236,0,0,0
1714530,60,36,24,0.6,5,Mixed,all,steam,all,1,365,2026-09-13T18:44:31.240196+00:00,success,,200,0,2.0620000000001255,0,0,0
1715860,10,10,0,1.0,7,Positive,all,steam,all,1,365,2026-09-13T18:44:33.408462+00:00,success,,200,0,2.0629999999998745,0,0,0
1717400,50,42,8,0.84,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:35.524954+00:00,success,,200,0,2.2029999999999745,0,0,0
1718460,1441,1214,227,0.842470506592644,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:37.745350+00:00,success,,200,0,2.094000000000051,0,0,0
1724030,153,108,45,0.7058823529411765,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:44:39.798913+00:00,success,,200,0,2.0,0,0,0
1727750,2,1,1,0.5,0,2 user reviews,all,steam,all,1,365,2026-09-13T18:44:42.037858+00:00,success,,200,0,2.2650000000001,0,0,0
1731000,21,17,4,0.8095238095238095,7,Positive,all,steam,all,1,365,2026-09-13T18:44:44.096026+00:00,success,,200,0,2.0629999999998745,0,0,0
1735700,8544,8050,494,0.9421816479400749,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:46.162725+00:00,success,,200,0,1.890999999999849,0,0,0
1748160,27,26,1,0.9629629629629629,7,Positive,all,steam,all,1,365,2026-09-13T18:44:48.250570+00:00,success,,200,0,2.0470000000000255,0,0,0
1752780,38,33,5,0.868421052631579,7,Positive,all,steam,all,1,365,2026-09-13T18:44:50.396170+00:00,success,,200,0,2.171999999999798,0,0,0
1757300,10663,9095,1568,0.8529494513739098,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:52.620252+00:00,success,,200,0,2.125,0,0,0
1803850,31,31,0,1.0,7,Positive,all,steam,all,1,365,2026-09-13T18:44:54.766559+00:00,success,,200,0,2.125,0,0,0
1805570,42,30,12,0.7142857142857143,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:44:56.850972+00:00,success,,200,0,2.125,0,0,0
1817500,746,698,48,0.935656836461126,8,Very Positive,all,steam,all,1,365,2026-09-13T18:44:59.109404+00:00,success,,200,0,2.109000000000151,0,0,0
1820100,66,62,4,0.9393939393939394,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:01.247088+00:00,success,,200,0,2.2029999999999745,0,0,0
1821550,7,7,0,1.0,0,7 user reviews,all,steam,all,1,365,2026-09-13T18:45:03.302283+00:00,success,,200,0,2.0,0,0,0
1829920,3,3,0,1.0,0,3 user reviews,all,steam,all,1,365,2026-09-13T18:45:05.376359+00:00,success,,200,0,1.9529999999999745,0,0,0
1844460,6,6,0,1.0,0,6 user reviews,all,steam,all,1,365,2026-09-13T18:45:07.525711+00:00,success,,200,0,2.140999999999849,0,0,0
1856490,26,24,2,0.9230769230769231,7,Positive,all,steam,all,1,365,2026-09-13T18:45:09.548166+00:00,success,,200,0,2.0,0,0,0
1858790,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:45:11.767137+00:00,success,,200,0,2.2029999999999745,0,0,0
1860290,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:45:14.020874+00:00,success,,200,0,2.280999999999949,0,0,0
1861410,43,40,3,0.9302325581395349,7,Positive,all,steam,all,1,365,2026-09-13T18:45:16.163261+00:00,success,,200,0,2.0779999999999745,0,0,0
1864000,2301,1952,349,0.8483268144285093,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:18.359078+00:00,success,,200,0,2.234000000000151,0,0,0
1866640,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:45:20.401747+00:00,success,,200,0,1.9529999999999745,0,0,0
1867750,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:45:22.638664+00:00,success,,200,0,2.1410000000000764,0,0,0
1869290,1466,1345,121,0.917462482946794,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:24.659962+00:00,success,,200,0,2.015999999999849,0,0,0
1869780,826,623,203,0.7542372881355932,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:45:26.695068+00:00,success,,200,0,2.030999999999949,0,0,0
1876360,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:45:28.748290+00:00,success,,200,0,2.0160000000000764,0,0,0
1880620,1344,1226,118,0.9122023809523809,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:30.845528+00:00,success,,200,0,2.25,0,0,0
1891030,4,3,1,0.75,0,4 user reviews,all,steam,all,1,365,2026-09-13T18:45:33.022679+00:00,success,,200,0,2.0,0,0,0
1893440,104,96,8,0.9230769230769231,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:35.275930+00:00,success,,200,0,2.155999999999949,0,0,0
1909840,2047,1441,606,0.7039570102589154,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:45:37.441336+00:00,success,,200,0,2.155999999999949,0,0,0
1911200,1,0,1,0.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:45:39.468802+00:00,success,,200,0,2.0,0,0,0
1925940,21,21,0,1.0,7,Positive,all,steam,all,1,365,2026-09-13T18:45:41.554507+00:00,success,,200,0,2.0,0,0,0
1926610,47,35,12,0.7446808510638298,6,Mostly Positive,all,steam,all,1,365,2026-09-13T18:45:43.672858+00:00,success,,200,0,2.061999999999898,0,0,0
1929290,1787,1638,149,0.9166200335758254,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:45.772062+00:00,success,,200,0,2.125,0,0,0
1932190,9,2,7,0.2222222222222222,0,9 user reviews,all,steam,all,1,365,2026-09-13T18:45:47.978861+00:00,success,,200,0,2.155999999999949,0,0,0
1935330,13,13,0,1.0,7,Positive,all,steam,all,1,365,2026-09-13T18:45:50.234726+00:00,success,,200,0,2.203000000000202,0,0,0
1936360,181,173,8,0.9558011049723757,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:52.408205+00:00,success,,200,0,2.155999999999949,0,0,0
1940870,43,35,8,0.813953488372093,7,Positive,all,steam,all,1,365,2026-09-13T18:45:54.414564+00:00,success,,200,0,1.9060000000001764,0,0,0
1941370,56,52,4,0.9285714285714286,8,Very Positive,all,steam,all,1,365,2026-09-13T18:45:56.519605+00:00,success,,200,0,2.125,0,0,0
1942500,2,2,0,1.0,0,2 user reviews,all,steam,all,1,365,2026-09-13T18:45:58.683686+00:00,success,,200,0,2.1410000000000764,0,0,0
1943950,136842,123368,13474,0.9015360781046755,8,Very Positive,all,steam,all,1,365,2026-09-13T18:46:00.695991+00:00,success,,200,0,1.9680000000000746,0,0,0
1946930,18,11,7,0.6111111111111112,5,Mixed,all,steam,all,1,365,2026-09-13T18:46:02.715662+00:00,success,,200,0,2.0470000000000255,0,0,0
1947160,17,17,0,1.0,7,Positive,all,steam,all,1,365,2026-09-13T18:46:04.746898+00:00,success,,200,0,2.0160000000000764,0,0,0
1951060,17,14,3,0.8235294117647058,7,Positive,all,steam,all,1,365,2026-09-13T18:46:06.974431+00:00,success,,200,0,2.125,0,0,0
1961590,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:46:09.211587+00:00,success,,200,0,2.2650000000001,0,0,0
1961850,60,52,8,0.8666666666666667,8,Very Positive,all,steam,all,1,365,2026-09-13T18:46:11.454503+00:00,success,,200,0,2.125,0,0,0
1962020,5,5,0,1.0,0,5 user reviews,all,steam,all,1,365,2026-09-13T18:46:13.652320+00:00,success,,200,0,2.155999999999949,0,0,0
1963370,6960,4518,2442,0.6491379310344828,5,Mixed,all,steam,all,1,365,2026-09-13T18:46:15.846301+00:00,success,,200,0,2.1720000000000255,0,0,0
1968180,21,20,1,0.9523809523809523,7,Positive,all,steam,all,1,365,2026-09-13T18:46:17.949520+00:00,success,,200,0,2.125,0,0,0
1968440,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:46:20.034213+00:00,success,,200,0,1.9529999999999745,0,0,0
1976860,123,115,8,0.9349593495934959,8,Very Positive,all,steam,all,1,365,2026-09-13T18:46:22.278611+00:00,success,,200,0,2.25,0,0,0
1983950,2,2,0,1.0,0,2 user reviews,all,steam,all,1,365,2026-09-13T18:46:24.498848+00:00,success,,200,0,2.155999999999949,0,0,0
1985300,7,7,0,1.0,0,7 user reviews,all,steam,all,1,365,2026-09-13T18:46:26.739443+00:00,success,,200,0,2.2650000000001,0,0,0
1989960,4,4,0,1.0,0,4 user reviews,all,steam,all,1,365,2026-09-13T18:46:28.751439+00:00,success,,200,0,1.8599999999999,0,0,0
1990780,0,0,0,,0,No user reviews,all,steam,all,1,365,2026-09-13T18:46:30.791132+00:00,success,,200,0,2.0319999999999254,0,0,0
1995980,7,4,3,0.5714285714285714,0,7 user reviews,all,steam,all,1,365,2026-09-13T18:46:33.049992+00:00,success,,200,0,2.2349999999999,0,0,0
2000780,14,13,1,0.9285714285714286,7,Positive,all,steam,all,1,365,2026-09-13T18:46:35.152614+00:00,success,,200,0,2.0,0,0,0
2000970,40,35,5,0.875,7,Positive,all,steam,all,1,365,2026-09-13T18:46:37.328344+00:00,success,,200,0,2.219000000000051,0,0,0
2012510,2103,1161,942,0.5520684736091298,5,Mixed,all,steam,all,1,365,2026-09-13T18:46:39.384177+00:00,success,,200,0,2.0,0,0,0
2016460,3235,2633,602,0.8139103554868624,8,Very Positive,all,steam,all,1,365,2026-09-13T18:46:41.499600+00:00,success,,200,0,2.109000000000151,0,0,0
2018960,30,18,12,0.6,5,Mixed,all,steam,all,1,365,2026-09-13T18:46:43.599790+00:00,success,,200,0,1.9529999999999745,0,0,0
2021390,64,53,11,0.828125,8,Very Positive,all,steam,all,1,365,2026-09-13T18:46:45.663707+00:00,success,,200,0,2.125,0,0,0
2022230,104,96,8,0.9230769230769231,8,Very Positive,all,steam,all,1,365,2026-09-13T18:46:47.888856+00:00,success,,200,0,2.1089999999999236,0,0,0
2025870,17,16,1,0.9411764705882353,7,Positive,all,steam,all,1,365,2026-09-13T18:46:50.051349+00:00,success,,200,0,2.2189999999998236,0,0,0
2055400,1,1,0,1.0,0,1 user reviews,all,steam,all,1,365,2026-09-13T18:46:52.124463+00:00,success,,200,0,1.969000000000051,0,0,0
