"appid","is_free","total_reviews","positive_reviews","negative_reviews","computed_positive_rate","current_price_usd","log1p_current_price","days_since_release","z_log1p_price","z_days_since_release","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","high_rating_80","high_rating_85","high_rating_90"
2218400,0,2920,2437,483,0.83458904109589,12.99,2.63834278867739,363,0.49684548092151,0.314036380900273,"Windows only",1,1,1,1,0,0,0,1,0,0
2221390,0,90,76,14,0.844444444444444,9.79,2.37861977927004,402,0.137432918421987,1.09431699078233,"Windows only",1,0,0,1,0,0,0,1,0,0
2221780,0,46,43,3,0.934782608695652,14.99,2.77196352684586,396,0.681753903235711,0.974273820031247,"Windows + macOS",1,0,0,1,0,0,0,1,1,1
2228490,0,30,27,3,0.9,12.99,2.63834278867739,409,0.49684548092151,1.2343673566586,"Windows + Linux",1,1,0,1,0,0,0,1,1,1
2234150,0,1366,1136,230,0.831625183016105,2.99,1.38379123090177,395,-1.2392409412896,0.954266624906066,"Windows only",1,1,0,1,0,0,0,1,0,0
2235200,0,1956,1343,613,0.686605316973415,19.99,3.04404613383254,423,1.0582700510032,1.51446808841113,"Windows only",1,1,0,1,1,0,0,0,0,0
2238440,0,74,70,4,0.945945945945946,9.99,2.39698576841553,375,0.162848330158823,0.554122722402445,"Windows + macOS + Linux",0,1,0,1,1,1,0,1,1,1
2263360,0,379,378,1,0.997361477572559,14.99,2.77196352684586,326,0.681753903235711,-0.426229838731425,"Windows only",1,0,0,1,0,0,0,1,1,1
2279440,0,95,93,2,0.978947368421053,12.99,2.63834278867739,338,0.49684548092151,-0.186143497229253,"Windows + macOS + Linux",0,1,0,1,0,1,1,1,1,1
2285150,0,9557,6381,3176,0.667678141676258,19.99,3.04404613383254,318,1.0582700510032,-0.586287399732874,"Windows only",1,0,0,1,0,1,0,0,0,0
2288470,0,2574,2349,225,0.912587412587413,25.99,3.29546642702991,355,1.40619306347963,0.153978819898824,"Windows + Linux",0,1,0,1,1,0,1,1,1,1
2292870,0,24,18,6,0.75,4.99,1.79009141212736,368,-0.676990451386808,0.414072356526178,"Windows only",1,1,0,1,0,0,0,0,0,0
2299690,0,62,54,8,0.870967741935484,9.99,2.39698576841553,360,0.162848330158823,0.25401479552473,"Windows only",0,0,0,0,1,0,0,1,1,0
2300120,0,1083,587,496,0.542012927054478,39.99,3.71332813451625,327,1.98444274340129,-0.406222643606244,"Windows only",1,0,0,0,0,0,0,0,0,0
2308690,0,1403,1187,216,0.846044191019244,19.49,3.01993696225081,430,1.02490704955907,1.6545184542874,"Windows + macOS",0,0,0,0,0,1,1,1,0,0
2319790,0,1009,983,26,0.974231912784936,9.99,2.39698576841553,292,0.162848330158823,-1.10647447298758,"Windows only",1,1,0,1,0,0,0,1,1,1
2321250,0,63,63,0,1,19.99,3.04404613383254,379,1.0582700510032,0.634151502903169,"Windows only",0,1,1,0,0,0,0,1,1,1
2321470,0,46306,39900,6406,0.861659396190558,12.99,2.63834278867739,361,0.49684548092151,0.274021990649911,"Windows only",1,0,0,0,0,0,0,1,1,0
2324760,0,22,20,2,0.909090909090909,4.99,1.79009141212736,425,-0.676990451386808,1.5544824786615,"Windows only",0,0,1,1,0,0,0,1,1,1
2345740,0,31,29,2,0.935483870967742,4.99,1.79009141212736,389,-0.676990451386808,0.834223454154979,"Windows only",0,0,0,0,0,0,1,1,1,1
2347080,0,810,588,222,0.725925925925926,39.99,3.71332813451625,409,1.98444274340129,1.2343673566586,"Windows only",0,0,0,0,1,0,1,0,0,0
2350270,0,621,552,69,0.888888888888889,19.99,3.04404613383254,412,1.0582700510032,1.29438894203414,"Windows only",1,1,0,1,0,0,0,1,1,0
2352620,0,15273,11436,3837,0.748772343351012,24.99,3.2577118486534,332,1.35394713505243,-0.306186667980339,"Windows only",0,0,0,0,1,0,0,0,0,0
2357350,0,22,18,4,0.818181818181818,4.19,1.6467336971778,293,-0.875373196918942,-1.0864672778624,"Windows only",1,0,0,1,0,0,1,1,0,0
2361770,0,3550,2972,578,0.837183098591549,29.99,3.43366457179966,381,1.59743583961146,0.674165893153531,"Windows only",1,0,0,0,0,0,0,1,0,0
2367120,0,108,98,10,0.907407407407407,2.99,1.38379123090177,363,-1.2392409412896,0.314036380900273,"Windows only",0,1,1,1,0,0,0,1,1,1
2377620,0,21,18,3,0.857142857142857,4.99,1.79009141212736,424,-0.676990451386808,1.53447528353632,"Windows only",1,0,1,1,0,0,0,1,1,0
2393510,0,21,20,1,0.952380952380952,14.99,2.77196352684586,366,0.681753903235711,0.374057966275816,"Windows + macOS + Linux",0,0,0,1,0,0,1,1,1,1
2403600,0,44,43,1,0.977272727272727,7.99,2.19611284848353,353,-0.115125697072204,0.113964429648462,"Windows only",1,1,0,1,0,0,0,1,1,1
2411100,0,29,29,0,1,9.99,2.39698576841553,384,0.162848330158823,0.734187478529074,"Windows only",1,1,0,1,1,0,0,1,1,1
2416100,0,1338,1296,42,0.968609865470852,19.99,3.04404613383254,306,1.0582700510032,-0.826373741235046,"Windows only",0,1,0,1,0,0,0,1,1,1
2421540,0,86,86,0,1,1.57,0.943905898907129,356,-1.84796757948355,0.173986015024005,"Windows + macOS",1,1,1,1,1,0,0,1,1,1
2430540,0,31,31,0,1,6.99,2.07819075977818,380,-0.278309853045123,0.65415869802835,"Windows + macOS + Linux",0,0,0,1,1,0,0,1,1,1
2446540,0,163,117,46,0.717791411042945,29.99,3.43366457179966,285,1.59743583961146,-1.24652483886385,"Windows only",1,1,0,1,0,1,0,0,0,0
2451310,0,189,108,81,0.571428571428571,14.99,2.77196352684586,395,0.681753903235711,0.954266624906066,"Windows only",0,0,1,1,0,1,0,0,0,0
2453160,0,1628,1455,173,0.893734643734644,29.99,3.43366457179966,390,1.59743583961146,0.85423064928016,"Windows only",0,1,0,1,0,0,0,1,1,0
2460920,0,209,168,41,0.803827751196172,14.99,2.77196352684586,340,0.681753903235711,-0.146129106978891,"Windows only",0,0,1,1,0,1,1,1,0,0
2467850,0,513,436,77,0.84990253411306,4.99,1.79009141212736,286,-0.676990451386808,-1.22651764373867,"Windows + macOS",0,0,1,1,0,1,1,1,0,0
2471390,0,45,44,1,0.977777777777778,7.99,2.19611284848353,439,-0.115125697072204,1.83458321041403,"Windows + Linux",1,0,0,1,0,0,0,1,1,1
2479770,0,142,135,7,0.950704225352113,24.99,3.2577118486534,363,1.35394713505243,0.314036380900273,"Windows only",1,1,0,0,0,0,0,1,1,1
2481640,0,368,306,62,0.831521739130435,5.84,1.92278773163446,370,-0.493361267599314,0.45408674677654,"Windows only",0,0,0,0,0,0,1,1,0,0
