"model","population","term","estimate_log_odds","std_error","statistic","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper"
"Quasibinomial","minus_top1","genre_indie",0.0177847083323918,0.0759596880220545,0.234133509437639,0.814939633183077,-0.13131307986022,0.166882496525004,1.0179437979792,0.876943178160372,1.18161541323356
"Quasibinomial","minus_top1","genre_rpg",-0.200618651222192,0.0640792058745936,-3.1307917831381,0.00180501331460517,-0.326396785833105,-0.074840516611279,0.818224400940778,0.721518842171709,0.927891457802799
"Quasibinomial","minus_top1","genre_simulation",0.349848048782308,0.0673558833747898,5.19402361387855,2.59674268028944e-07,0.217638274171005,0.48205782339361,1.41885193593298,1.24313731140522,1.61940342199619
"Quasibinomial","minus_top1","genre_strategy",-0.0345263755913935,0.0712139391338817,-0.484826088983565,0.627928883835025,-0.174308950926119,0.105256199743332,0.966062858871231,0.840037327253008,1.11099521058469
"Beta-binomial","minus_top1","(Intercept)",1.64775647822148,0.0795391593653552,20.7162923441607,2.46988376193831e-95,1.4918625905048,1.80365036593817,5.19531094912281,4.4453677124492,6.07177124683896
"Beta-binomial","minus_top1","z_log1p_price",-0.0730899486948786,0.0321755073994888,-2.27160205392876,0.0231105567288157,-0.136152784382179,-0.0100271130075786,0.929517217404853,0.872709285953269,0.990022990884419
"Beta-binomial","minus_top1","z_days_since_release",-0.0173540803617264,0.0306074313045863,-0.566989114147778,0.570721577555754,-0.0773435433779992,0.0426353826545465,0.982795634385941,0.925571824909986,1.04355732637172
"Beta-binomial","minus_top1","platform_segmentWindows + macOS",0.366540643164021,0.108371710906415,3.38225391200614,0.000718936596915892,0.154135992844461,0.578945293483581,1.44273503667544,1.16664953197923,1.78415567742922
"Beta-binomial","minus_top1","platform_segmentWindows + Linux",0.489993446340711,0.16583975452716,2.95461994464339,0.00313054436691637,0.164953500262514,0.815033392418907,1.63230552234607,1.17933827851601,2.2592511129497
"Beta-binomial","minus_top1","platform_segmentWindows + macOS + Linux",0.418275858749039,0.112908702846041,3.70454932353079,0.000211766900789798,0.196978867629665,0.639572849868414,1.51933973975814,1.21771830715977,1.8956709702365
"Beta-binomial","minus_top1","genre_action",-0.125095400864109,0.0655777533631031,-1.90758899853518,0.0564443581676062,-0.253625435642842,0.00343463391462351,0.882412715633333,0.775982402968639,1.00344053902839
"Beta-binomial","minus_top1","genre_adventure",-0.00698190297054303,0.0627224354057779,-0.111314283722788,0.911367129025272,-0.129915617388508,0.115951811447422,0.99304241388844,0.878169530032456,1.12294175789148
"Beta-binomial","minus_top1","genre_casual",0.101650123528036,0.0670562418659334,1.51589353503088,0.129546275309648,-0.0297776954678007,0.233077942523872,1.1069960920772,0.970661291970017,1.26247987636046
"Beta-binomial","minus_top1","genre_indie",0.134499650237916,0.0693942932695083,1.93819468289066,0.0525994752140495,-0.00151066530293043,0.270509965778763,1.143964258887,0.998490475177531,1.31063265814149
"Beta-binomial","minus_top1","genre_rpg",-0.0869088607422569,0.0692531424321179,-1.25494465218593,0.209498852896476,-0.222642525725431,0.0488248042409169,0.916760644710481,0.800400920898451,1.05003637270503
"Beta-binomial","minus_top1","genre_simulation",-0.240578215329865,0.0652398882306412,-3.687593922285,0.000226384544892771,-0.368446046617341,-0.11271038404239,0.786173152250858,0.691808534001781,0.89340936826093
