"specification_id","appid","is_free","total_reviews","positive_reviews","negative_reviews"
"TH_GT0",3210750,0,11,6,5
"TH_GT0",3213600,0,99,94,5
"TH_GT0",3213790,0,14,13,1
"TH_GT0",3214220,0,40,23,17
"TH_GT0",3214790,0,32,23,9
"TH_GT0",3216500,0,700,562,138
"TH_GT0",3220180,0,21,19,2
"TH_GT0",3220620,0,49,38,11
"TH_GT0",3222920,0,12,12,0
"TH_GT0",3223370,0,7,7,0
"TH_GT0",3223470,0,4,4,0
"TH_GT0",3224330,0,6,6,0
"TH_GT0",3224410,0,1,0,1
"TH_GT0",3226580,0,2,2,0
"TH_GT0",3226740,0,1,1,0
"TH_GT0",3227670,0,21,12,9
"TH_GT0",3227790,0,3,3,0
"TH_GT0",3228800,0,13,12,1
"TH_GT0",3230860,0,9,8,1
"TH_GT0",3232760,0,2,2,0
"TH_GT0",3233130,0,115,105,10
"TH_GT0",3234170,0,8,6,2
"TH_GT0",3234660,0,4,4,0
"TH_GT0",3235740,0,2,2,0
"TH_GT0",3236710,0,520,405,115
"TH_GT0",3237360,0,15,12,3
"TH_GT0",3237570,0,142,69,73
"TH_GT0",3238190,0,1,1,0
"TH_GT0",3239500,0,46,45,1
"TH_GT0",3239650,0,216,99,117
"TH_GT0",3243410,0,10,10,0
"TH_GT0",3244900,0,12,11,1
"TH_GT0",3247750,0,4069,3602,467
"TH_GT0",3249650,0,1768,1354,414
"TH_GT0",3252440,0,1,1,0
"TH_GT0",3253190,0,7,7,0
"TH_GT0",3256840,0,21,21,0
